NameJSON,Name_std,source
ARR_26,ARR_26,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json
ARR_45,ARR_45,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json
ARR_80,ARR_80,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json
ARR_73,ARR_73,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json
ARR_46,ARR_46,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json
ARR_39,ARR_39,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json
ARR_4,ARR_4,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json
ARR_42,ARR_42,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json
TRI_39,TRI_39,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json
TRI_85,TRI_85,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json
TRI_38___,TRI_38___,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json
TRI_38,TRI_38,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json
