Name,Target,Precursors,Temperature (C),Dwell Duration (h),Furnace
Na-291,Na4NbP2O9,"['Nb2O5', 'Na2CO3', 'NH4H2PO4']",900.0,0.2,BF
Na-292,Na5LaP2O9,"['La2O3', 'Na2CO3', 'NH4H2PO4']",900.0,0.2,BF
Na-293,Na4WP2O9,"['WO3', 'Na2CO3', 'NH4H2PO4']",900.0,0.2,BF
Na-294,Na3TaP2O9,"['Ta2O5', 'Na2CO3', 'NH4H2PO4']",900.0,0.2,BF
Na-295,Na5GaP2O9,"['Ga2O3', 'Na2CO3', 'NH4H2PO4']",900.0,0.2,BF
Na-297,Na5GaP2O9,"['Ga2O3', 'Na2CO3', 'NH4H2PO4']",1000.0,0.2,BF
Na-298,Na5YP2O9,"['Y2O3', 'Na2CO3', 'NH4H2PO4']",1000.0,0.2,BF
Na-299,Na4CrP2O9,"['Cr2O3', 'Na2CO3', 'NH4H2PO4']",1000.0,0.2,BF
Na-300,Na5LaP2O9,"['La2O3', 'Na2CO3', 'NH4H2PO4']",1000.0,0.2,BF
Na-301,Na4NbP2O9,"['Nb2O5', 'Na2CO3', 'NH4H2PO4']",1000.0,0.2,BF
Na-302,Na4GeP2O9,"['GeO2', 'Na2CO3', 'NH4H2PO4']",1000.0,0.2,BF
Na-303,Na4FeP2O9,"['Fe3O4', 'Na2CO3', 'NH4H2PO4']",1000.0,0.2,BF
Na-304,Na3TaP2O9,"['Ta2O5', 'Na2CO3', 'NH4H2PO4']",1000.0,0.2,BF
Na-305,Na4HfP2O9,"['HfO2', 'Na2CO3', 'NH4H2PO4']",1000.0,0.2,BF
Na-306,Na4ZrP2O9,"['ZrO2', 'Na2CO3', 'NH4H2PO4']",1000.0,0.2,BF
Na-307,Na3TaP2O9,"['Ta2O5', 'Na2CO3', 'NH4H2PO4']",850.0,0.2,BF
Na-308,Na4HfP2O9,"['HfO2', 'Na2CO3', 'NH4H2PO4']",850.0,0.2,BF
Na-309,Na4ZrP2O9,"['ZrO2', 'Na2CO3', 'NH4H2PO4']",850.0,0.2,BF
Na-310,Na4MoP2O9,"['MoO3', 'Na2CO3', 'NH4H2PO4']",850.0,0.2,BF
Na-311,Na3TaP2O9,"['Ta2O5', 'Na2CO3', 'NH4H2PO4']",,,BF
Na-312,Na4HfP2O9,"['HfO2', 'Na2CO3', 'NH4H2PO4']",,,BF
Na-313,Na4ZrP2O9,"['ZrO2', 'Na2CO3', 'NH4H2PO4']",,,BF
Na-321,Na4SnP2O9,"['SnO2', 'Na2CO3', '(NH4)2HPO4']",,,BF
Na-322,Na4SnP2O9,"['Sn', 'Na2CO3', '(NH4)2HPO4']",,,BF
Na-323,Na4SnP2O9,"['Sn', 'Na2CO3', 'NH4H2PO4']",,,BF
Na-324,Na4FeP2O9,"['Fe2O3', 'Na2CO3', 'NH4H2PO4']",,,BF
Na-325,Na3VP2O9,"['V2O5', 'Na2CO3', 'NH4H2PO4']",,,BF
Na-326,Na5AlP2O9,"['Al2O3', 'Na2CO3', 'NH4H2PO4']",,,BF
Na--1,Al2Ca4Na10O32P8,"['Na2CO3', 'AlPO4', 'CaCO3', 'NH4H2PO4']",570.0,0.07,BF
Na--2,Al2Ca4Na10O32P8,"['Na2CO3', 'Al2O3', 'CaCO3', 'NH4H2PO4']",570.0,0.07,BF
Na--3,Al2Ca4Na10O32P8,"['Na2CO3', 'AlPO4', 'CaCO3', 'NH4H2PO4']",570.0,0.07,BF
Na--4,Al2Ca4Na10O32P8,"['Na2CO3', 'Al2O3', 'CaCO3', 'NH4H2PO4']",570.0,0.07,BF
Na--5,Na12O40P12Rb8,"['Na2CO3', 'NH4H2PO4', 'Rb2CO3']",,,BF
Na--6,Na12O40P12Rb8,"['Na2HPO4', 'NH4H2PO4', 'Rb2CO3']",570.0,0.07,BF
Na--7,Na4SnP2O9,"['Na2CO3', 'SnO2', 'NH4H2PO4']",,,BF
Na--8,Na4SnP2O9,"['Na2CO3', 'SnO2', 'NH4H2PO4']",,,BF
Na--9,Na4SnP2O9,"['SnO2', 'Na2HPO4']",570.0,0.07,BF
Na--10,Na4SnP2O9,"['SnO2', 'Na2HPO4']",,,BF
Na--11,Na4SnP2O9,"['SnO2', 'Na2HPO4']",,,BF
Na--12,Na4SnP2O9,"['SnO2', 'Na2HPO4']",,,BF
Na-13,Na5HoCl8,"['Na2CO3', 'Ho2O3', 'NH4Cl']",350.0,0.07,BF
Na-14,Na5HoCl8,"['NaCl', 'Ho2O3', 'NH4Cl']",350.0,0.07,BF
Na-15,Cl32In4Na20,"['Na2CO3', 'In2O3', 'NH4Cl']",350.0,0.07,BF
Na-16,Cl32In4Na20,"['Na2CO3', 'In2O3', 'NH4Cl']",350.0,0.07,BF
Na-17,Bi8Cl48Na24,"['Na2CO3', 'Bi2O3', 'NH4Cl']",350.0,0.07,BF
Na-18,C12Na12O30,"['Na2CO3', 'C']",350.0,0.07,BF
Na-19,C18Na12O30,"['Na2CO3', 'C']",350.0,0.07,BF
Na-20,Br24Ca8Cl8Na16+8NaCl,"['NaBr', 'CaCl2']",350.0,0.07,BF
Na-21,Na2CaBr4,"['NaBr', 'CaCO3']",700.0,0.07,BF
Na-22,Na2CaBr4,"['NaBr', 'CaCO3']",700.0,0.07,BF
Na-23,Na4CaBr4,"['NaBr', 'CaCl2']",700.0,0.07,BF
Na-24,C12In4Na12O36,"['Na2CO3', 'In2O3']",700.0,0.07,BF
Na-25,C12Na12O30,"['Na2CO3', 'C']",700.0,0.07,BF
