Name,Target,Precursors,Temperature (C),Dwell Duration (h),Furnace
ARR-124,CaCr2P2O9,"['Ca(OH)2', 'Cr2O3', '(NH4)2HPO4']",600.0,4,BF
ARR-125,CaCr2P2O9,"['Ca(OH)2', 'Cr2O3', 'NH4H2PO4']",600.0,4,BF
ARR-91,CaCr2P2O9,"['CaCO3', 'Cr2O3', 'NH4H2PO4']",600.0,4,BF
ARR-126,CaCr2P2O9,"['Cr2O3', '(NH4)2HPO4', 'CaO']",600.0,4,BF
ARR-66,CaCr2P2O9,"['CaO', 'Cr2O3', 'NH4H2PO4']",600.0,4,BF
ARR-117,CaFe2P2O9,"['CaO', 'Fe2O3', 'NH4H2PO4']",,,BF
ARR-118,CaFe2P2O9,"['CaO', 'Fe3O4', '(NH4)2HPO4']",,,BF
ARR-14,CaFe2P2O9,"['NH4H2PO4', 'CaO', 'Fe2O3']",800.0,4,BF
ARR-16,CaFe2P2O9,"['CaO', 'Fe3O4', '(NH4)2HPO4']",800.0,4,BF
ARR-73,CaFe2P2O9,"['CaO', 'Fe2O3', 'NH4H2PO4']",900.0,4,BF
ARR-74,CaFe2P2O9,"['CaO', 'Fe3O4', '(NH4)2HPO4']",900.0,4,BF
ARR-29,CaTa2Ga2(CuO4)3,"['Ca(OH)2', 'Ga2O3', 'Ta2O5', 'CuO']",800.0,4,BF
ARR-30,CaTa2Ga2(CuO4)3,"['CaCO3', 'Ga2O3', 'Ta2O5', 'CuO']",800.0,4,BF
ARR-31,CaTa2Ga2(CuO4)3,"['CaO', 'Ga2O3', 'Ta2O5', 'CuO']",800.0,4,BF
ARR-130,CaTa2Ga2(CuO4)3,"['Ca(OH)2', 'Ga2O3', 'Ta2O5', 'CuO']",,,BF
ARR-131,CaTa2Ga2(CuO4)3,"['CaCO3', 'Ga2O3', 'Ta2O5', 'CuO']",,,BF
ARR-132,CaTa2Ga2(CuO4)3,"['CaO', 'Ga2O3', 'Ta2O5', 'CuO']",,,BF
ARR-101,CaTiNiP2O9,"['CaO', '(NH4)2HPO4', 'Ni(OH)2', 'TiO2']",1000.0,4,BF
ARR-102,CaTiNiP2O9,"['CaO', 'NH4H2PO4', 'NiO', 'TiO2']",1000.0,4,BF
ARR-6,CaTiNiP2O9,"['CaO', '(NH4)2HPO4', 'Ni(OH)2', 'TiO2']",800.0,4,BF
ARR-5,CaTiNiP2O9,"['CaO', '(NH4)2HPO4', 'NiO', 'TiO2']",800.0,4,BF
ARR-45,CaTiNiP2O9,"['CaO', '(NH4)2HPO4', 'Ni(OH)2', 'TiO2']",900.0,4,BF
ARR-46,CaTiNiP2O9,"['CaO', 'NH4H2PO4', 'NiO', 'TiO2']",900.0,4,BF
ARR-32,CuAg2P2O7,"['CuO', 'Ag2CO3', '(NH4)2HPO4']",600.0,4,BF
ARR-33,CuAg2P2O7,"['CuO', 'Ag2CO3', 'NH4H2PO4']",600.0,4,BF
ARR-75,CuAg2P2O7,"['CuO', 'Ag2CO3', '(NH4)2HPO4']",700.0,4,BF
ARR-76,CuAg2P2O7,"['CuO', 'Ag2CO3', 'NH4H2PO4']",700.0,4,BF
ARR-97,FeSb3Pb4O13,"['Fe2O3', 'PbCO3', 'Sb2O3']",500.0,4,BF
